Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber,address_line1,address_line2,city,state,postal_code
HV DP's,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
TSC's with Complete Clamps,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
LT TSC's with Clamps,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
LT Pin Insulators,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
Shackle Insulators,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
V type Cross Arms,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
33kV V type Cross Arms,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
33kV DP CTC's,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
33kV GI Pins,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
Pole Clamps,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474,M/s. Hi-Tech Engineering Works (R),Plot No. 8-15/66C,Shahabad,,
ACSR Rabbit Conductor,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167,M/s. Anand Transmission Products Pvt. Ltd,K.I.A.D.B. Industrial Area,Vijayapur,,
ACSR Weasel Conductor,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167,M/s. Anand Transmission Products Pvt. Ltd,K.I.A.D.B. Industrial Area,Vijayapur,,
