Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber
66kV Compact Sub-Station,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV & 33kV HT VCB Panels,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV & 33kV HT Metering Cubicle with LBS,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV & 33kV HT VCB Panel with VCB,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV & 33kV RMU,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV & 33kV HT Control & Relay Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV & 33kV HT Outdoor CT/PT Unit,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV & 33kV HT Indoor CT/PT Unit,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV Indoor VCB Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV Control & Relay Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
11kV HT Control & Relay Panel with VCB,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
AC Distribution Box (Single & Double Front),"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
DC Distribution Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
DTC LT Metering Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
LT Meter Boxes,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
Feeder Pillar 8-Way & 12-Way,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
GI Trunking Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
DTC Distribution Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440
M+3 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201
M+6 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201
M+9 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201
M+12 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201
M+3 Towers (33/11kV),"M/s. Samruddhi Enterprises Fabricators, Plot No. 86, Road No. 6, Dwaraka Nagar Colony, Dindepalli, Hyderabad–Telangana. Ph: 9949920555",779:94 Dtd:15.05.2023,16.05.2024,01 Year,9949920555
M+6 Towers (33/11kV),"M/s. Samruddhi Enterprises Fabricators, Plot No. 86, Road No. 6, Dwaraka Nagar Colony, Dindepalli, Hyderabad–Telangana. Ph: 9949920555",779:94 Dtd:15.05.2023,16.05.2024,01 Year,9949920555
M+9 Towers (33/11kV),"M/s. Samruddhi Enterprises Fabricators, Plot No. 86, Road No. 6, Dwaraka Nagar Colony, Dindepalli, Hyderabad–Telangana. Ph: 9949920555",779:94 Dtd:15.05.2023,16.05.2024,01 Year,9949920555
"25kVA, 63kVA, 100kVA & 250kVA (EEL-1, Star-1 rated) Aluminium wound Distribution Transformer","M/s. VLS Industries, #15, Shakthi Kaveri Industrial Estate, Heggadadevanakote, Bangalore–560040. Ph: 9900512604",779:98 Dtd:15.05.2023,16.05.2025,02 Years,9900512604
"25kVA, EEL-2, Star-2 rated Distribution Transformer","M/s. VLS Industries, #15, Shakthi Kaveri Industrial Estate, Heggadadevanakote, Bangalore–560040. Ph: 9900512604",779:98 Dtd:15.05.2023,16.05.2025,02 Years,9900512604
CRGO Core Distribution Transformer,"M/s. VLS Industries, #15, Shakthi Kaveri Industrial Estate, Heggadadevanakote, Bangalore–560040. Ph: 9900512604",779:98 Dtd:15.05.2023,16.05.2025,02 Years,9900512604
9 Mtrs PSCC Poles 300 kg W/L,"M/s. S.A. Sai Cement Concrete Products, S.A. Sai Nagar, Yemmiganur Road, Adoni, Kurnool District. Ph: 9949016848, 9944209371",779:89 Dtd:15.05.2023,16.05.2025,02 Years,9949016848 / 9944209371
9 Mtrs PSCC Poles 400 kg W/L,"M/s. S.A. Sai Cement Concrete Products, S.A. Sai Nagar, Yemmiganur Road, Adoni, Kurnool District. Ph: 9949016848, 9944209371",779:89 Dtd:15.05.2023,16.05.2025,02 Years,9949016848 / 9944209371
LT Protection Kit,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
"Earthing Pipe 40 mm Dia, 2.5 mtr long","M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
Cast Iron Earthing Strips,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
MS Foundation Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
Stay Rod Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
Suspension Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
PG Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
Eye Bolt & Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
Pole Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
GI Earthing Pipes,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560
8 Mtr PSCC Poles 240 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685
9 Mtr PSCC Poles 200 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685
9 Mtr PSCC Poles 280 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685
9 Mtr RCC Poles 400 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685
9 Mtr RCC Poles 415 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685
Horizontal X Arm,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698
PG Clamps,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698
DP Set,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698
TTC Set,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698
24 Ft. X Arm,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698
Guy Rod,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698
11 kV SF6 Ring Main Unit,"M/s. Veeranjaneya Switchgear Pvt. Ltd., Ashram Apparao Peta, Nuzvid Road, Vijayawada – 521201. Ph: 040-27530088, 9393299866",8011:14 Dtd:15.05.2023,16.05.2025,02 Year,040-27530088 / 9393299866
11 kV VCB Panel,"M/s. Veeranjaneya Switchgear Pvt. Ltd., Ashram Apparao Peta, Nuzvid Road, Vijayawada – 521201. Ph: 040-27530088, 9393299866",8011:14 Dtd:15.05.2023,16.05.2025,02 Year,040-27530088 / 9393299866
"25kVA, 63kVA & 100kVA, 3-Phase, Non-Sealed type, Aluminium Wound, EEL-2 Star-2 rated (CRGO Core), ONAF Distribution Transformer","#195/1, 6th Cross, Teppam 1st Stage, Bengaluru – 560058. Ph: 9886766254",8015:14 Dtd:15.05.2023,16.05.2025,02 Year,9886766254
"63kVA, 100kVA, 3-Phase, Non-Sealed type Aluminium Wound, ONAF Distribution Transformer (CRGO Core)","#195/1, 6th Cross, Teppam 1st Stage, Bengaluru – 560058. Ph: 9886766254",8015:14 Dtd:15.05.2023,16.05.2025,02 Year,9886766254
Double Pole Structure,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
Pole Clamps,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
DP Set,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
Top Support,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
11 kV DP Set,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
Cross Arm,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
Anchor Rod,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
Turn Buckle,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
Eye Bolt,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
Universal Hook with Bolt & Nuts,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970
9 Mtrs RCC Poles 115 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533
9 Mtrs RCC Poles 145 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533
8 Mtrs PSCC Poles 200 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533
8 Mtrs PSCC Poles 200 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533
9 Mtrs PSCC Poles 260 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533
9 Mtrs PSCC Poles 300 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533
8 Mtrs PSCC Poles 306 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533
28 Mtr PSC Poles 410 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593
9 Mtr RCC Poles 206 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593
9 Mtr RCC Poles 260 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593
9 Mtr RCC Poles 306 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593
9 Mtr RCC Poles 385 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593
11 kV Class 2 Cx4mm² PVC Insulated (Type ST) Armoured Cable with Aluminium conductor class 1 cable core AM/VV,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
Ashirvad Cable brand.,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
11 kV Class 3.5C x 400 mm² XLPE Insulated and sheathed (Type ST,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
Armoured Cable with Aluminium conductor class 2 cable core AM/VV,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
Ashirvad Cable brand.,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
"11 kV Class 4C x 185 mm² XLPE Insulated, Sheathed (ST","M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
", 1100V Grade","M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
Ashirvad Cable brand.,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,
"Double Pole TC Set for 25, 63, 100 & 250 KVA DTC's","M/s. Kausar Industries, #11, Narasipura Main Road, 3rd Cross, Madivala, Bangalore. Ph: 9880599663 / 9663959689",8017:11 Dtd:15.05.2023,16.05.2025,02 Year,9880599663 / 9663959689
DP Cross Arm,"M/s. Kausar Industries, #11, Narasipura Main Road, 3rd Cross, Madivala, Bangalore. Ph: 9880599663 / 9663959689",8017:11 Dtd:15.05.2023,16.05.2025,02 Year,9880599663 / 9663959689
11 kV DP Cross Arm support channels,"M/s. Kausar Industries, #11, Narasipura Main Road, 3rd Cross, Madivala, Bangalore. Ph: 9880599663 / 9663959689",8017:11 Dtd:15.05.2023,16.05.2025,02 Year,9880599663 / 9663959689
11 kV 100x29 mm Top Channel,"M/s. Kausar Industries, #11, Narasipura Main Road, 3rd Cross, Madivala, Bangalore. Ph: 9880599663 / 9663959689",8017:11 Dtd:15.05.2023,16.05.2025,02 Year,9880599663 / 9663959689
"HTST, special & pin cross arms (with pole clamps)","M/s. Kausar Industries, #11, Narasipura Main Road, 3rd Cross, Madivala, Bangalore. Ph: 9880599663 / 9663959689",8017:11 Dtd:15.05.2023,16.05.2025,02 Year,9880599663 / 9663959689
"HTST, special & pin cross arms (with pole clamps)","M/s. Kausar Industries, #11, Narasipura Main Road, 3rd Cross, Madivala, Bangalore. Ph: 9880599663 / 9663959689",8017:11 Dtd:15.05.2023,16.05.2025,02 Year,9880599663 / 9663959689
11 kV Guy set (without insulator),"M/s. Kausar Industries, #11, Narasipura Main Road, 3rd Cross, Madivala, Bangalore. Ph: 9880599663 / 9663959689",8017:11 Dtd:15.05.2023,16.05.2025,02 Year,9880599663 / 9663959689
"25 kVA, Aluminium wound CRGO Core, EL-2 / Star-1 Rated Distribution Transformer","M/s. Meghdoot Engineers, #408/1, M.V. Namja Industrial Layout, 2nd Main Road, Doddabommasandra, Vidyaranyapura, Bengaluru–560097. Ph: +91 9061127604",8053:53 Dtd:15.05.2023,16.05.2025,02 Year,+91 9061127604
"63 kVA, 100 kVA, 250 kVA (Star-","M/s. Meghdoot Engineers, #408/1, M.V. Namja Industrial Layout, 2nd Main Road, Doddabommasandra, Vidyaranyapura, Bengaluru–560097. Ph: +91 9061127604",8053:53 Dtd:15.05.2023,16.05.2025,02 Year,+91 9061127604
Rated Distribution Transformer,"M/s. Meghdoot Engineers, #408/1, M.V. Namja Industrial Layout, 2nd Main Road, Doddabommasandra, Vidyaranyapura, Bengaluru–560097. Ph: +91 9061127604",8053:53 Dtd:15.05.2023,16.05.2025,02 Year,+91 9061127604
11 kV VCB Panel,"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
11 kV VCB Indoor Type (Polymer End) type polymer,"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
11 kV DP Structure,"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
11 kV Pin Insulator (Polymer type),"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
33 kV Disc Insulator (Polymer type),"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
11 kV Post Insulator (Polymer type),"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
33 kV Disc Insulator 70 kN (Polymer),"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
33 kV Pin Insulator (Polymer),"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
11 kV Stay Insulator (70 kN),"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
LT Stay Insulator (Porcelain) 100x70 mm,"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
LT Stay Insulator (100x285 mm),"M/s. Sun Krushna U.P. Kisan No. 1300 Mi Behide Sewerage, CT Road, near BSNL SDO Office, Nutpura, Kushinagar–274303 (U.P.)",318:6773 Dtd:18.10.2023,17.10.2025,02 Years,
"Station Mounting Structures for CT/PT, LA, IPH, Isolator Mounting Structure etc.","M/s. Hitech Industries, Sy. No. 142, Arlikatti Village, Gokak Road, Hubli. Ph: 9449005553 / 9686900363",348:4727 Dtd:18.10.2023,17.10.2025,02 Years,9449005553 / 9686900363
